"PROVIDER_NAME","PROVIDER_NUMBER","PROVIDER_STREET","PROVIDER_CITY","PROVIDER_COUNTY","PROVIDER_STATE","PROVIDER_ZIP_CODE","PROVIDER_ZIP_CODE_PLUS_4","PROGRAM_NAME","PROGRAM_NUMBER","PROGRAM_COUNTY","PROGRAM_STREET_ADDRESS","PROGRAM_CITY","PROGRAM_STATE","PROGRAM_ZIP_CODE","PROGRAM_ZIP_CODE_PLUS_4","PROGRAM_DIRECTOR","PROGRAM_DIRECTOR_EMAIL","PROGRAM_DIRECTOR_TELEPHONE","PROGRAM_DIRECTOR_PHONE_EXTENSION","PROGRAM_TYPE","SERVICE_TYPE"
"National Society for Hebrew Day School","796","813 Quentin Rd","Brooklyn","Kings","NY","11223","","Natl Soc/Heb Day Sch Manhattan PriPrev","90331","New York","813 Quentin Rd","Brooklyn","NY","11233","","Mr. Martin Wangrofsky","mwangrofsky@cntrfrc.org","7187874412","","Prevention","Primary Prevention"
"NYC Department of Education","31460","52 Chambers St","New York","New York","NY","10007","","NYC SD #01 Manhattan PriPrev","90303","New York","333 7th Avenue","New York","NY","10001","5110","Ms. Ann-Marie Weathers","Aweathers@schools.nyc.gov","9174062425","","Prevention","Primary Prevention"
"NYC Department of Education","31460","52 Chambers St","New York","New York","NY","10007","","NYC SD #2 Manhattan PriPrev","90304","New York","333 Seventh Avenue","New York","NY","10001","5004","Ms. Ann-Marie Weathers","Aweathers@schools.nyc.gov","9174062425","","Prevention","Primary Prevention"
"NYC Department of Education","31460","52 Chambers St","New York","New York","NY","10007","","NYC SD #3 Manhattan PriPrev","90305","New York","333 7th Avenue","New York","NY","10001","5110","Ms. Ann-Marie Weathers","Aweathers@schools.nyc.gov","9174062425","","Prevention","Primary Prevention"
"NYC Department of Education","31460","52 Chambers St","New York","New York","NY","10007","","NYC SD #4 Manhattan PriPrev","90306","New York","333 7th Avenue","New York","NY","10001","5110","Ms. Ann-Marie Weathers","Aweathers@schools.nyc.gov","9174062425","","Prevention","Primary Prevention"
"NYC Department of Education","31460","52 Chambers St","New York","New York","NY","10007","","NYC SD #5 Manhattan PriPrev","90307","New York","333 7th Avenue","New York","NY","10001","5110","Ms. Ann-Marie Weathers","Aweathers@schools.nyc.gov","9174062425","","Prevention","Primary Prevention"
"NYC Department of Education","31460","52 Chambers St","New York","New York","NY","10007","","NYC SD#6 Manhattan PriPrev","90308","New York","333 7th Avenue","New York","NY","10001","5110","Ms. Ann-Marie Weathers","Aweathers@schools.nyc.gov","9174062425","","Prevention","Primary Prevention"
"NYSARC, Inc.","28310","83 Maiden Lane","New York","New York","NY","10038","","NYSARC, Inc. PriPrev","90296","New York","83 Maiden Lane","New York","NY","10038","4736","Barbara Cajdler","barbara.cajdler@ahrcnyc.org","2127802570","","Prevention","Primary Prevention"
"SCAN-Harbor, Inc.","2035","345 E 102nd St","New York","New York","NY","10029","","SCAN-Harbor, Inc. PriPrev","90893","New York","1 E 104th St","New York","NY","10029","","Mr. Earl Washington","ewashington@scan-harbor.org","2124272244","150","Prevention","Primary Prevention"
"Single Parent Resource Center","31610","228 East 45th Street","New York","New York","NY","10017","3303","Single Parent Manhattan PriPrev","90227","New York","228 E 45th Street","New York","NY","10017","3303","Ms. Rosemarie Dackerman","rdackerman@sprcnyc.org","2129517030","239","Prevention","Primary Prevention"
"The Educational Alliance, Inc.","70590","197 E Broadway","New York","New York","NY","10002","5507","Educational Alliance, Inc. PriPrev","90309","New York","371 East 10th Street","New York","NY","10009","","John Gordon","jgordon@edalliance.org","6463954421","","Prevention","Primary Prevention"
"Dept of Education, Diocese of Brooklyn","11460","112-06  86th Ave","Richmond Hill","Kings","NY","11418","1724","Diocese of Brklyn/Dept of Ed PriPrev 1","90292","Queens","112-06 86th Ave","Richmond Hill","NY","11418","","Mr. Norwood Keaton CPP","pdhpco@aol.com","7184418921","","Prevention","Primary Prevention"
"Elmcor Youth and Adult Activities, Inc","114","107-20 Northern Blvd","Corona","Queens","NY","11368","1236","Elmcor Youth & Adult Actvties PriPrev","90207","Queens","107-20 Northern Blvd","Corona","NY","11368","","Ms. Leyla Bermudez","L.Bermudez@elmcor.org","7186510096","223","Prevention","Primary Prevention"
"Mental Health Providers/Western Queens","16140","40-23 62nd St","Woodside","Queens","NY","11377","4962","MH Providers/Western Queens PriPrev","90864","Queens","40-23 62nd St","Woodside","NY","11377","","Ms. Olga Iof","oiof@mhpwq.org","3475274427","","Prevention","Primary Prevention"
"National Society for Hebrew Day School","796","813 Quentin Rd","Brooklyn","Kings","NY","11223","","Natl Soc/Heb Day Sch Queens PriPrev","90275","Queens","813 Quentin Rd","Brooklyn","NY","11233","","Mr. Martin Wangrofsky","mwangrofsky@cntrfrc.org","7187874412","","Prevention","Primary Prevention"
"NYC Department of Education","31460","52 Chambers St","New York","New York","NY","10007","","NYC SD #25 Queens PriPrev","90281","Queens","90-27 Sutphin Boulevard","Jamaica","NY","11434","","Ms. Jennifer Hecker","Jhecker@schools.nyc.gov","7185572604","","Prevention","Primary Prevention"
"NYC Department of Education","31460","52 Chambers St","New York","New York","NY","10007","","NYC SD #26 Queens PriPrev","90282","Queens","90-27 Sutphin Boulevard","Jamaica","NY","11434","","Ms. Jennifer Hecker","Jhecker@schools.nyc.gov","7185572604","","Prevention","Primary Prevention"
"NYC Department of Education","31460","52 Chambers St","New York","New York","NY","10007","","NYC SD #27 Queens PriPrev","90283","Queens","90-27 Sutphin Boulevard","Jamaica","NY","11434","","Ms. Yvette Jeanty","Yjeanty@schools.nyc.gov","7185572665","","Prevention","Primary Prevention"
"NYC Department of Education","31460","52 Chambers St","New York","New York","NY","10007","","NYC SD #28 Queens PriPrev","90284","Queens","90-27 Sutphin Boulevard","Jamaica","NY","11434","","Ms. Yvette Jeanty","Yjeanty@schools.nyc.gov","7185572665","","Prevention","Primary Prevention"
"NYC Department of Education","31460","52 Chambers St","New York","New York","NY","10007","","NYC SD #29 Queens PriPrev","90285","Queens","90-27 Sutphin Boulevard","Jamaica","NY","11434","","Ms. Yvette Jeanty","Yjeanty@schools.nyc.gov","7185572665","","Prevention","Primary Prevention"
"NYC Department of Education","31460","52 Chambers St","New York","New York","NY","10007","","NYC SD #30 Queens PriPrev","90286","Queens","90-27 Sutphin Boulevard","Jamaica","NY","11434","","Ms. Jennifer Hecker","Jhecker@schools.nyc.gov","7185572604","","Prevention","Primary Prevention"
"NYC Department of Education","31460","52 Chambers St","New York","New York","NY","10007","","NYC SD#24 Queens PriPrev","90280","Queens","90-27 Sutphin Boulevard","Jamaica","NY","11434","","Ms. Jennifer Hecker","Jhecker@schools.nyc.gov","7185572604","","Prevention","Primary Prevention"
"Dept of Ed Archdiocese of New York","27080","2789 Schurz Ave","Bronx","Bronx","NY","10465","","Archdiocese of NY Richmond PriPrev 4","90294","Richmond","2789 Schurz Ave","Bronx","NY","10459","","Christine Cavallucci","adapp@adnyeducation.org","7189041333","","Prevention","Primary Prevention"
"National Society for Hebrew Day School","796","813 Quentin Rd","Brooklyn","Kings","NY","11223","","Natl Soc/Heb Day Sch Richmond PriPRev","90276","Richmond","813 Quentin Rd","Brooklyn","NY","11233","","Mr. Martin Wangrofsky","mwangrofsky@cntrfrc.org","7187874412","","Prevention","Primary Prevention"
"NYC Department of Education","31460","52 Chambers St","New York","New York","NY","10007","","NYC SD #31 Staten Island PriPrev","90266","Richmond","131 Livingston Street","Brooklyn","NY","11201","","Ms. Kristine Nuzzela","Knuzzel@schools.nyc.gov","9179226249","","Prevention","Primary Prevention"
"United Activities Unlimited, Inc.","1786","South Avenue","Staten Island","Richmond","NY","10314","3424","UA Borough Wide Richmond PriPrev","90277","Richmond","1000 Richmond Ter","Staten Island","NY","10301","","Ms. Jennifer Colindres","jcolindres@unitedactivities.org","3234473375","","Prevention","Primary Prevention"
"YMCA of Greater New York","20860","5 W 63rd St","New York","New York","NY","10023","","YMCA/Greater NY Staten Island PriPrev1","90209","Richmond","3911 Richmond Ave","Staten Island","NY","10312","5110","Ms. Jacqueline Filis","jfilis@ymcanyc.org","7189483232","","Prevention","Primary Prevention"
