"PROVIDER_NAME","PROVIDER_NUMBER","PROVIDER_STREET","PROVIDER_CITY","PROVIDER_COUNTY","PROVIDER_STATE","PROVIDER_ZIP_CODE","PROVIDER_ZIP_CODE_PLUS_4","PROGRAM_NAME","PROGRAM_NUMBER","PROGRAM_COUNTY","PROGRAM_STREET_ADDRESS","PROGRAM_CITY","PROGRAM_STATE","PROGRAM_ZIP_CODE","PROGRAM_ZIP_CODE_PLUS_4","PROGRAM_DIRECTOR","PROGRAM_DIRECTOR_EMAIL","PROGRAM_DIRECTOR_TELEPHONE","PROGRAM_DIRECTOR_PHONE_EXTENSION","PROGRAM_TYPE","SERVICE_TYPE","ADMISSION_PHONE","ADMISSION_PHONE_EXT","TELEHEALTH_SERVICES","ADOLESCENT_DESIGNATION","PROBLEM_GAMBLING","INTEGRATED_LICENSE_SERVICE","PARENTS_WITH_CHILDREN","LGBTQ_ENDORSEMNT","ADDITIONAL_LOCATION_STREET","ADDITIONAL_LOCATION_CITY","ADDITIONAL_LOCATION_ZIP","ADDITIONAL_LOCATION_COUNTYNAME"
"BronxCare Health System","85190","1276 Fulton Ave","Bronx","Bronx","NY","10456","3402","BronxCare Life Recovery CR","50036","Bronx","1285 Fulton Ave","Bronx","NY","10456","3401","Ms. Teanika Chamberlain LCSW","tchambe1@bronxcare.org","7185183736","","Residential Services","Community Residential","7185183733","","","","","","","","","","",""
"BronxCare Health System","85190","1276 Fulton Ave","Bronx","Bronx","NY","10456","3402","BronxCare OTP","309","Bronx","1276 Fulton Ave","Bronx","NY","10456","","Ms. Teanika Chamberlain LCSW","tchambe1@bronxcare.org","7185183736","","Outpatient Services","Opioid Outpatient Treatment","7185037764","","Y","","","","","","","","",""
"Concourse Medical Center, Inc.","43050","880 Morris Ave","Bronx","Bronx","NY","10451","3412","Concourse Medical Center, Inc. OTP","829","Bronx","880 Morris Ave","Bronx","NY","10451","","Ms. Ana M Matos CASAC","amatos@concoursemedical.com","7186659340","118","Outpatient Services","Opioid Outpatient Treatment","7186659340","122","Y","","","","","","","","",""
"Counseling Services of New York LLC","44640","911 Walton Ave","Bronx","Bronx","NY","10452","","Counseling Services of New York LLC OP","52002","Bronx","911 Walton Ave","Bronx","NY","10452","9554","Eniko Balogh","programdirector@csofny.com","6463019716","","Outpatient Services","Outpatient Clinic","7185901790","6609","Y","","","","","","","","",""
"Jacobi Medical Center (HHC)","85140","1400 Pelham Pkwy S","Bronx","Bronx","NY","10461","1197","Jacobi Medical Center (HHC) OP","51889","Bronx","1400 Pelham Pkwy S","Bronx","NY","10461","1197","Mrs. Tabitha Gonzalez","gonzalet6@nychhc.org","7189186711","","Outpatient Services","Outpatient Clinic","7189184465","","Y","","","","","","","","",""
"Lincoln Medical & MHC (HHC)","84150","545 East 142 Street","Bronx","Bronx","NY","10451","","Rec Ctr at Belvis Diagnostic & TC OP","6813","Bronx","545 East 142nd St","Bronx","NY","10454","","Richard Freeman","Richard.Freeman@nychhc.org","7185794645","","Outpatient Services","Outpatient Clinic","7185794063","","Y","","","","","","","","",""
"Montefiore Medical Center","85420","1510 Waters Place","Bronx","Bronx","NY","10470","2723","Montefiore Medical Center OP","51981","Bronx","2058 Jerome Ave","Bronx","NY","10453","1817","Mrs. Lorena Allen","lorferna@montefiore.org","9175648788","","Outpatient Services","Outpatient Clinic","9175648763","","Y","","","","","","","","",""
"Montefiore Medical Center","85420","1510 Waters Place","Bronx","Bronx","NY","10470","2723","Montefiore Medical Center OTP","327","Bronx","3550 Jerome Ave","Bronx","NY","10467","1005","Mrs. Stephanie Pagan","stpagan@montefiore.org","7189204940","","Outpatient Services","Opioid Outpatient Treatment","7189204069","","Y","","","","","","","","",""
"Montefiore Medical Center","85420","1510 Waters Place","Bronx","Bronx","NY","10470","2723","Montefiore Medical Center OTP 1","420","Bronx","2058 Jerome Ave","Bronx","NY","10453","1817","Ms. Katherine Estevez","kestevez@montefiore.org","9175648728","","Outpatient Services","Opioid Outpatient Treatment","9175648714","","Y","","","","","","","","",""
"Montefiore Medical Center","85420","1510 Waters Place","Bronx","Bronx","NY","10470","2723","Montefiore Medical Center OTP 2","52790","Bronx","804 E 138th St","Bronx","NY","10454","","Ms. Rahshima Shells","rshells@montefiore.org","7184099450","","Outpatient Services","Opioid Outpatient Treatment","7186657500","3092","Y","","","","","","","","",""
"Montefiore Medical Center","85420","1510 Waters Place","Bronx","Bronx","NY","10470","2723","Next Steps North OP 1","52915","Bronx","1510 Waters Pl","Bronx","NY","10461","","Ms. Rosanna Rodriguez","rosanrod@montefiore.org","7184099433","","Outpatient Services","Outpatient Clinic","7184099433","","Y","Y","","","","","","","",""
"Montefiore Medical Center","85420","1510 Waters Place","Bronx","Bronx","NY","10470","2723","Next Steps North OP2","52787","Bronx","1510 Waters Pl","Bronx","NY","10461","","Ms. Rosanna Rodriguez","rosanrod@montefiore.org","7185973888","","Outpatient Services","Outpatient Clinic","7185973888","","Y","","","","","","1200 Waters Place","Bronx","10461","Bronx"
"Montefiore Medical Center","85420","1510 Waters Place","Bronx","Bronx","NY","10470","2723","Next Steps South OP","52792","Bronx","260 E 161st St","Bronx","NY","10451","3512","Ms. Crismilda Fermin LCSW","cfermin@montefiore.org","7189933397","","Outpatient Services","Outpatient Clinic","7189933397","","Y","","","","","","","","",""
"Montefiore Medical Center","85420","1510 Waters Place","Bronx","Bronx","NY","10470","2723","Wakefield Recovery Center OP","52212","Bronx","4401 Bronx Blvd","Bronx","NY","10470","1407","Dr. Yael L Belinkie PhD","ybelinki@montefiore.org","9175648786","","Outpatient Services","Outpatient Clinic","7183047048","","Y","","","","","","","","",""
"Montefiore Medical Center","85420","1510 Waters Place","Bronx","Bronx","NY","10470","2723","Wellness Center at Melrose OTP","52791","Bronx","260 E 161st St","Bronx","NY","10451","","Ms. Crismilda Fermin LCSW","cfermin@montefiore.org","7189933397","","Outpatient Services","Opioid Outpatient Treatment","7189933397","","Y","","","","","","","","",""
"Montefiore Medical Center","85420","1510 Waters Place","Bronx","Bronx","NY","10470","2723","Wellness Center at Waters Place OMM","52789","Bronx","1510 Waters Pl","Bronx","NY","10461","","Mrs. Corina Langert","clangert@montefiore.org","7184099450","","Outpatient Services","Medical Maintenance","7184099450","","Y","","","","","","","","",""
"Montefiore Medical Center","85420","1510 Waters Place","Bronx","Bronx","NY","10470","2723","Wellness Center at Waters Place OTP","52786","Bronx","1510 Waters Pl","Bronx","NY","10461","","Ms. Zuly Marte","zmarte@montefiore.org","7184099420","8578","Outpatient Services","Opioid Outpatient Treatment","7184099450","","Y","","","","","","","","",""
"Odyssey House, Inc.","19400","120 Wall Street","New York","New York","NY","10005","","Odyssey House Family ReEntry RRi","53846","Bronx","1328 Clinton Ave","Bronx","NY","10456","","Ms. Kashifa Barber","kbarber@odysseyhousenyc.org","7183784520","","Residential Services","820 Residential Reintegration","","","","","","","Y","","","","",""
"Odyssey House, Inc.","19400","120 Wall Street","New York","New York","NY","10005","","Odyssey House, Inc. IR 6","52056","Bronx","1264 Lafayette Ave","Bronx","NY","10474","5309","Ms. Kashifa Barber","Kbarber@odysseyhousenyc.org","7183788671","5120","Residential Services","Intensive Residential","2129875118","","","","","","","","","","",""
"Odyssey House, Inc.","19400","120 Wall Street","New York","New York","NY","10005","","Odyssey House, Inc. OP","7392","Bronx","953 Southern Blvd","Bronx","NY","10459","3428","Ms. Mary Callahan","MCallahan@odysseyhousenyc.org","7188602994","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"Postgraduate Center for Mental Health","18270","158 E 35th St","New York","New York","NY","10016","4102","Bronx Recovery Support Center OP","53437","Bronx","1775 Grand Concourse","Bronx","NY","10453","8202","Mr. Cesar Vanegas","cvanegas@pgcmh.org","2128895500","202","Outpatient Services","Outpatient Clinic","","","Y","","","Mental Health","","","","","",""
"PROMESA, Inc.","166","311 east 175 street","Bronx","Bronx","NY","10457","","PROMESA, Inc. COP5","53941","Bronx","1776 Clay Ave","Bronx","NY","10457","","Evelyn Munoz","emunoz@promesa.org","7182991100","","Outpatient Services","Comprehensive Outpatient Clinic","","","Y","","","Mental Health","","","","","",""
"PROMESA, Inc.","166","311 east 175 street","Bronx","Bronx","NY","10457","","PROMESA, Inc. IP","52108","Bronx","1776 Clay Ave","Bronx","NY","10457","","Mrs. Stephanie Curry CASAC","scurry@promesa.org","7182991100","7663","Inpatient Treatment Services","Inpatient Rehabilitation","7182991100","7599","","","","","","","","","",""
"PROMESA, Inc.","166","311 east 175 street","Bronx","Bronx","NY","10457","","PROMESA, Inc. MSW-IP","52099","Bronx","1776 Clay Ave","Bronx","NY","10457","7239","Mrs. Stephanie Curry CASAC","scurry@promesa.org","7182991100","7663","Crisis Services","Med Sup Withdrawal - Inpatient","7182991100","7599","","","","","","","","","",""
"PROMESA, Inc.","166","311 east 175 street","Bronx","Bronx","NY","10457","","PROMESA, Inc. MTA-R","1183","Bronx","1776 Clay Ave","Bronx","NY","10457","","Mr. Kent Belgrave","kenbelgrave@promesa.org","9175749046","","Opioid Treatment","MAOT-A-Residential","7182991100","7599","Y","","","","","","","","",""
"PROMESA, Inc.","166","311 east 175 street","Bronx","Bronx","NY","10457","","PROMESA, Inc. RRSY","2","Bronx","311 E 175th St","Bronx","NY","10457","","Mr. John Carridice","jcarridice@promesa.org","9175991512","","Residential Services","Residential Rehab for Youth","7182991100","7599","","","","","","","","","",""
"PROMESA, Inc.","166","311 east 175 street","Bronx","Bronx","NY","10457","","Ramon Velez Recovery Center COP","53934","Bronx","754 E 151st St","Bronx","NY","10455","","Mrs. Catherine McGee CASAC","cmcgee@promesa.org","3473522435","2445","Outpatient Services","Comprehensive Outpatient Clinic","","","Y","","","Mental Health","","","","","",""
"Riverdale Mental Health Association","18040","5676 Riverdale Avenue","Bronx","Bronx","NY","10471","2191","Riverdale Mental Health Association OP","2016","Bronx","5676 Riverdale Ave","Bronx","NY","10471","","Ms. Mayra L Estrada-Cruz LCSW","mestrada@mosaicmh.org","7187965300","159","Outpatient Services","Outpatient Clinic","7187965300","117","Y","","","OMH Hosted","","","","","",""
"Samaritan Daytop Village, Inc.","16890","138-02 Queens Blvd","Jamaica","Queens","NY","11435","","Bronx Outreach Center OP","52769","Bronx","900 Arnow Ave","Bronx","NY","10469","","Ms. Katelyn McDonagh","Katelyn.McDonagh@samaritanvillage.org","7185189007","","Outpatient Services","Outpatient Clinic","","","Y","","","Mental Health","","","","","",""
"Samaritan Daytop Village, Inc.","16890","138-02 Queens Blvd","Jamaica","Queens","NY","11435","","Independence OCCBHC","53774","Bronx","362 E 148th St","Bronx","NY","10455","","Ms. Arlene G Morales","arlene.morales@samaritanvillage.org","7184029000","","Outpatient Services","Crtfd Cmty Behavioral Hlth Clnc","7184029000","","Y","","","Mental Health","","","","","",""
"Samaritan Daytop Village, Inc.","16890","138-02 Queens Blvd","Jamaica","Queens","NY","11435","","Mott Haven OTP","52882","Bronx","362 E 148th St","Bronx","NY","10455","","Saby M Guzman","saby.guzman@samaritanvillage.org","7182924640","299","Outpatient Services","Opioid Outpatient Treatment","","","Y","","","","","","","","",""
"Samaritan Daytop Village, Inc.","16890","138-02 Queens Blvd","Jamaica","Queens","NY","11435","","Samaritan Daytop Village, Inc IR  2","3162","Bronx","1381 Dr Martin L King Jr Blvd.","Bronx","NY","10452","4005","Elizabeth Fulton MSW","elizabeth.fulton@samaritanvillage.org","7186319300","","Residential Services","Intensive Residential","7186576195","8744","","","","","","","","","",""
"Samaritan Daytop Village, Inc.","16890","138-02 Queens Blvd","Jamaica","Queens","NY","11435","","Samaritan Daytop Village, Inc. OTP 2","52883","Bronx","250 Grand Concourse","Bronx","NY","10451","5430","Mrs. Lucy Miroquesada LCSW","Lucy.Miroquesada@samaritanvillage.org","7182924455","2480","Outpatient Services","Opioid Outpatient Treatment","","","Y","","","","","","","","",""
"SCAN-Harbor, Inc.","2035","345 E 102nd St","New York","New York","NY","10029","","SCAN-Harbor, Inc. OP","7422","Bronx","1377 Jerome Ave","Bronx","NY","10452","","Mr. Helio V Dos Santos","hdossantos@scanny.org","7182932230","205","Outpatient Services","Outpatient Clinic","7182932230","205","","","","","","","","","",""
"St. Barnabas Hospital","81630","4422 3rd Ave","Bronx","Bronx","NY","10457","","St. Barnabas Hospital MMD","50717","Bronx","4422 3rd Ave","Bronx","NY","10457","","Ms. Franchesca Reynoso-Marage","fmarage@sbhny.org","7189606590","","Crisis Services","Medical Managed Detoxification","7189606307","","Y","","","","","","","","",""
"St. Barnabas Hospital","81630","4422 3rd Ave","Bronx","Bronx","NY","10457","","St. Barnabas Hospital OP","50718","Bronx","4441-4451 3rd Ave","Bronx","NY","10457","","Ms. Franchesca Reynoso-Marage","fmarage@sbhny.org","7189606590","","Outpatient Services","Outpatient Clinic","7189606170","","Y","","","","","","","","",""
"St. Barnabas Hospital","81630","4422 3rd Ave","Bronx","Bronx","NY","10457","","St. Barnabas Hospital OTP","6962","Bronx","4535 3rd Ave","Bronx","NY","10458","","Ms. Franchesca Reynoso-Marage","fmarage@sbhny.org","7189606590","","Outpatient Services","Opioid Outpatient Treatment","7189606307","","Y","","","","","","","","",""
"Success Counseling Services, Inc.","29070","139 W 168th St","Bronx","Bronx","NY","10452","3403","Success Counseling Services OP","51788","Bronx","139 W 168th St","Bronx","NY","10452","","Natalie Faladova","nfaladova@sharehcc.com","7185386112","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"T.R.I. Center, Inc.","16350","20 West 37th Street","New York","New York","NY","10018","","T.R.I. Center, Inc. OP 1","6134","Bronx","2488 Grand Concourse","Bronx","NY","10458","","Ms. aneta Skrobacz CSW","aneta.skrobacz@tricenter.com","7185847204","","Outpatient Services","Outpatient Clinic","7185847204","","Y","","","","","","","","",""
"The PAC Program of the Bronx, Inc.","47080","213 W 35th St","New York","New York","NY","10001","","The PAC Program of the Bronx, Inc OP","52233","Bronx","1215-1217 Stratford Ave","Bronx","NY","10472","","Mr. Kevin L Ross Psy D","drross@thepacprogram.com","7183282605","","Outpatient Services","Outpatient Clinic","7183282605","","Y","","","","","","213 West 35th Street","New York","10001","New York"
"United Bronx Parents, Inc","330","773 Prospect Ave","Bronx","Bronx","NY","10459","","La Casita III-The Mix IR 1","7258","Bronx","1006 E 151st St","Bronx","NY","10455","3342","Gloria Montalvo","gmontalvo@ubpinc.org","7187420082","","Residential Services","Intensive Residential","","","","","","","Y","","","","",""
"United Bronx Parents, Inc","330","773 Prospect Ave","Bronx","Bronx","NY","10459","","Lorraine Montenegro Women/Children IR","5750","Bronx","773 Prospect Ave","Bronx","NY","10455","1809","Mrs. Seavena Atkinson","satkinson@ubpinc.org","7182929808","","Residential Services","Intensive Residential","","","","","","","Y","","","","",""
"VERTEX, LLC","44120","1080 E Gun Hill Rd","Bronx","Bronx","NY","10469","3742","VERTEX , LLC OP","51992","Bronx","1080 E Gun Hill Rd","Bronx","NY","10469","","Mr. Paul Henderson CASAC","phvertex@gmail.com","7186531117","101","Outpatient Services","Outpatient Clinic","","","Y","","","","","","2639 Atlantic Avenue","Brooklyn","11207","Kings"
"VERTEX, LLC","44120","1080 E Gun Hill Rd","Bronx","Bronx","NY","10469","3742","VERTEX , LLC OP","51992","Bronx","1080 E Gun Hill Rd","Bronx","NY","10469","","Mr. Paul Henderson CASAC","phvertex@gmail.com","7186531117","101","Outpatient Services","Outpatient Clinic","","","Y","","","","","","89-31 161st Street","Jamaica","11432","Queens"
"Vocational Instruction Proj Commun Srv","325","770 East 176th Street","Bronx","Bronx","NY","10460","","VIP Community Services OCCBHC","53773","Bronx","770 E 176th St","Bronx","NY","10460","","Ms. Fenesha Blanchard LMSW","fblanchard@vipservices.org","7185835150","8418","Outpatient Services","Crtfd Cmty Behavioral Hlth Clnc","7185835150","8418","Y","","","Mental Health and Primary Care","","","","","",""
"Vocational Instruction Proj Commun Srv","325","770 East 176th Street","Bronx","Bronx","NY","10460","","VIP Community Services RR","53043","Bronx","716 Fairmount Pl","Bronx","NY","10457","","Mr. Maati Faris LMSW","MFaris@vipservices.org","7187313500","7962","Residential Services","820 Rehab and Reintegration","7185835150","8948","Y","","","","","","","","",""
"Vocational Instruction Proj Commun Srv","325","770 East 176th Street","Bronx","Bronx","NY","10460","","VIP Community Services SRR","53042","Bronx","764 E 176th St","Bronx","NY","10460","","Mr. James Emery CASAC","Jemery@vipservices.org","7185428770","7464","Residential Services","820 Stabil Rehab Reintegration","7185835150","8948","Y","","","","","","","","",""
"Vocational Instruction Proj Commun Srv","325","770 East 176th Street","Bronx","Bronx","NY","10460","","VIP Community Services, Inc. OTP","670","Bronx","770 E 176th St","Bronx","NY","10460","","Mr. James McFarlane LCSW","JMcFarlane@vipservices.org","7184668954","8954","Outpatient Services","Opioid Outpatient Treatment","7185835150","8948","Y","","","Mental Health and Primary Care","","","","","",""
"AAA Health, Inc.","43710","1090 Coney Island Avenue","Brooklyn","Kings","NY","11230","2341","AAA Health, Inc. OP","51953","Kings","1090 Coney Island Ave","Brooklyn","NY","11230","2341","Mrs. Olena Shutova CASAC","aaahealth@verizon.net","7184212101","","Outpatient Services","Outpatient Clinic","7184212101","","Y","","","","","","","","",""
"Addiction Care Interventions","11490","589 Rockaway Ave","Brooklyn","New York","NY","11212","5624","Addiction Care Interventions IP","51389","Kings","589 Rockaway Ave","Brooklyn","NY","11212","5624","Mrs. Shoshanna Bacquie LCSW","Sbacquie@acirehab.org","2122933000","","Inpatient Treatment Services","Inpatient Rehabilitation","9294756066","","Y","","","","","","","","",""
"Addiction Care Interventions","11490","589 Rockaway Ave","Brooklyn","New York","NY","11212","5624","Addiction Care Interventions MSW-IP","51656","Kings","589 Rockaway Ave","Brooklyn","NY","11212","5624","Mrs. Shoshanna Bacquie LCSW","Sbacquie@acirehab.org","9294756066","","Crisis Services","Med Sup Withdrawal - Inpatient","9294756066","","Y","","","","","","","","",""
"Anchor House, Inc.","610","1041 Bergen St","Brooklyn","Kings","NY","11216","3307","Anchor House, Inc. SRR","53207","Kings","976 Park Pl","Brooklyn","NY","11213","1803","Mr. Edgar Sanchez CASAC","esanchez@anchorhouseinc.com","7187568673","122","Residential Services","820 Stabil Rehab Reintegration","7187710760","136","Y","","","","","","","","",""
"Anchor House, Inc.","610","1041 Bergen St","Brooklyn","Kings","NY","11216","3307","Anchor House, Inc. SRR 1","53208","Kings","1041-1047 Bergen St","Brooklyn","NY","11216","3307","Mr. Edgar Sanchez CASAC","esanchez@anchorhouseinc.com","7187710760","122","Residential Services","820 Stabil Rehab Reintegration","7187710760","136","Y","","","","","","","","",""
"Beth Israel Medical Center","83040","125th Street","New York","New York","NY","10035","1641","Vincent P. Dole Clinic OTP","53131","Kings","25 12th St","Brooklyn","NY","11215","8019","Ms. Marie Hardy","marie.hardy@mountsinai.org","7189657901","","Outpatient Services","Opioid Outpatient Treatment","","","Y","","","","","","","","",""
"Bridge Back to Life Center, Inc.","2050","1065 Stewart Ave Suite 101","Bethpage","Nassau","NY","11714","3637","Bridge Back to Life Ctr Inc. OP 3","7180","Kings","175 Remsen St","Brooklyn","NY","11201","4333","Ms. Kalliope Angelos-Caceres","kalli@bridgebacktolife.com","3476455658","","Outpatient Services","Outpatient Clinic","3476455658","","Y","","","","","","","","",""
"Bridge Back to Life Center, Inc.","2050","1065 Stewart Ave Suite 101","Bethpage","Nassau","NY","11714","3637","Bridge Back to Life Ctr Inc. OP 4","7356","Kings","3044 Coney Island Ave","Brooklyn","NY","11235","","Mr. David Osman LCSW","dosman@bridgebacktolife.com","7182654200","","Outpatient Services","Outpatient Clinic","3476455658","","Y","","","","","","","","",""
"Bridging Access to Care, Inc.","31640","2261 Church Ave","Brooklyn","Kings","NY","11226","3201","Bridging Access to Care, Inc. OP","7275","Kings","2261 Church Ave","Brooklyn","NY","11226","3201","Mr. Daniel Beath LCSW","dbeath@bac-ny.org","3475055182","","Outpatient Services","Outpatient Clinic","3475055182","","Y","","","","","","260 Broadway","Brooklyn","11211","Kings"
"Brooklyn Center for Psychotherapy, Inc","32130","300 Flatbush Avenue","Brooklyn","Kings","NY","11217","1813","New Directions OP","50337","Kings","300 Flatbush Ave","Brooklyn","NY","11217","","Ms. Carol Morrison LCSW","cmorrison@newdirectionsclinic.com","7183980800","","Outpatient Services","Outpatient Clinic","7183980800","","Y","Y","","Mental Health","","","","","",""
"Brooklyn Hospital Center","27480","121 DeKalb Ave","Brooklyn","Kings","NY","11201","5425","Brooklyn Hospital Center MMD","8033","Kings","121 DeKalb Ave","Brooklyn","NY","11201","5425","Ms. Catherine Lashley RN","regulatory@tbh.org","3475634741","","Crisis Services","Medical Managed Detoxification","7182508900","","","","","","","","","","",""
"Brownsville Comm Develop.Corp., Inc.","45250","592 Rockaway Avenue","Brooklyn","Kings","NY","11212","","Brownsville Community Development CR","51330","Kings","657-663 E 98th St","Brooklyn","NY","11236","1305","Mrs. Michele Leeheung MSW","mhueng@bmsfhc.org","7183458605","4413","Residential Services","Community Residential","7183458605","4412","","","","","","","","","",""
"C.C.M.S.","19430","810 Classon Avenue","Brooklyn","Kings","NY","11238","","C.C.M.S. OP","7277","Kings","810 Classon Ave","Brooklyn","NY","11238","","Ms. Cynthia Di Fan","cfan@ccmnyc.org","7182305100","","Outpatient Services","Outpatient Clinic","","","","","","","","","","","",""
"Catholic Charities Neighborhood Svcs.","40490","191 Joralemon St","Brooklyn","Kings","NY","11201","4306","Catholic Charities Neighborhood Svc OP","51149","Kings","1623 Flatbush Ave","Brooklyn","NY","11210","","Ms. Johanna Bos LCSW","johanna.bos@ccbq.org","7183775755","2670","Outpatient Services","Outpatient Clinic","","","Y","","","","","","18-47 Mott Avenue","Far Rockaway","11691","Queens"
"Center for Community Alternatives, Inc","2136","25 Chapel St","Brooklyn","Kings","NY","11201","1954","Crossroads to Recovery COP","53918","Kings","25 Chapel St","Brooklyn","NY","11201","","Ms. Vanessa Piedra","vpiedra@communityalternatives.org","7188589658","","Outpatient Services","Comprehensive Outpatient Clinic","7188589658","430","Y","","","","","","","","",""
"Counseling Service of E.D.N.Y., Inc.","80","175 Remsen St","Brooklyn","Kings","NY","11201","4333","Counseling Service of E.D.N.Y. OP 2","6285","Kings","175 Remsen St","Brooklyn","NY","11201","4333","Ms. Mo'Nique Murray MA","monique.murray@csedny.org","7188586631","36","Outpatient Services","Outpatient Clinic","7188586631","","Y","","","","","","","","",""
"Cumberland D/TC (HHC)","85450","100 North Portland Ave","Brooklyn","Kings","NY","11205","2005","Alcoholism Treatment Program OP","51910","Kings","100 N Portland Ave","Brooklyn","NY","11205","","Ms. Purnima Popli","poplip@nychhc.org","6469370785","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","185 Marcy Avenue","Brooklyn","11211","Kings"
"Cumberland D/TC (HHC)","85450","100 North Portland Ave","Brooklyn","Kings","NY","11205","2005","Alcoholism Treatment Program OP R","53165","Kings","100 N Portland Ave","Brooklyn","NY","11205","","Ms. Purnima Popli","poplip@nychhc.org","6469370785","","Outpatient Services","Outpatient Rehabilitation","","","Y","","","","","","","","",""
"Dynamic Youth Community Inc","105","1830 Coney Island Ave","Brooklyn","Kings","NY","11230","6502","Dynamic Youth Community Inc CR","52160","Kings","1830 Coney Island Ave","Brooklyn","NY","11230","6502","Mr. Scott Lynch CASAC","slynch@dycinc.org","7183767923","","Residential Services","Community Residential","7183767923","","Y","","","","","","","","",""
